taxon,state_name,state
Abeomelomys_sevia,A,1
Aethomys_chrysophilus,C,2
Aethomys_hindei,T,3
Aethomys_ineptus,T,3
Aethomys_kaiseri,T,3
Aethomys_nyikae,T,3
Aethomys_silindensis,T,3
Anisomys_imitator,A,1
Apodemus_agrarius,T,3
Apodemus_argenteus,A,1
Apodemus_chevrieri,C,2
Apodemus_draco,C,2
Apodemus_latronum,C,2
Apodemus_mystacinus,T,3
Apodemus_pallipes,T,3
Apodemus_peninsulae,C,2
Apodemus_ponticus,T,3
Apodemus_semotus,T,3
Apodemus_speciosus,T,3
Apodemus_sylvaticus,C,2
Apodemus_uralensis,C,2
Apomys_abrae,T,3
Apomys_aurorae,T,3
Apomys_banahao,T,3
Apomys_brownorum,T,3
Apomys_camiguinensis,T,3
Apomys_datae,T,3
Apomys_gracilirostris,C,2
Apomys_hylocoetes,T,3
Apomys_insignis,T,3
Apomys_iridensis,T,3
Apomys_lubangensis,T,3
Apomys_magnus,T,3
Apomys_microdon,A,1
Apomys_minganensis,T,3
Apomys_musculus,A,1
Apomys_sacobianus,C,2
Apomys_sierrae,C,2
Apomys_zambalensis,C,2
Archboldomys_luzonensis,T,3
Archboldomys_maximus,T,3
Arvicanthis_abyssinicus,T,3
Arvicanthis_ansorgei,T,3
Arvicanthis_blicki,T,3
Arvicanthis_nairobae,T,3
Arvicanthis_neumanni,T,3
Arvicanthis_niloticus,C,2
Baiyankamys_habbema,SA,4
Bandicota_bengalensis,SA,4
Bandicota_indica,T,3
Bandicota_savilei,T,3
Batomys_granti,C,2
Batomys_hamiguitan,T,3
Batomys_salomonseni,T,3
Batomys_uragon,T,3
Berylmys_berdmorei,T,3
Berylmys_bowersi,C,2
Berylmys_manipulus,T,3
Bullimus_bagobus,T,3
Bullimus_gamay,T,3
Bullimus_luzonicus,T,3
Bunomys_andrewsi,T,3
Bunomys_chrysocomus,T,3
Bunomys_fratrorum,T,3
Bunomys_penitus,T,3
Bunomys_torajae,T,3
Carpomys_melanurus,A,1
Carpomys_phaeurus,A,1
Chiromyscus_chiropus,A,1
Chiromyscus_thomasi,A,1
Chiropodomys_gliroides,A,1
Chiropodomys_major,A,1
Chiruromys_vates,A,1
Chrotomys_gonzalesi,T,3
Chrotomys_mindorensis,T,3
Chrotomys_sibuyanensis,T,3
Chrotomys_silaceus,T,3
Chrotomys_whiteheadi,T,3
Coccymys_ruemmleri,C,2
Colomys_goslingi,SA,4
Conilurus_penicillatus,A,1
Crateromys_heaneyi,A,1
Crateromys_schadenbergi,A,1
Cremnomys_cutchicus,T,3
Crossomys_moncktoni,SA,4
Crunomys_celebensis,T,3
Crunomys_melanius,T,3
Crunomys_suncoides,T,3
Dacnomys_millardi,T,3
Dasymys_incomtus,T,3
Dasymys_rufulus,T,3
Dephomys_defua,A,1
Desmomys_harringtoni,C,2
Diplothrix_legata,A,1
Echiothrix_centrosa,T,3
Echiothrix_leucura,T,3
Eropeplus_canus,C,2
Golunda_ellioti,C,2
Gracilimus_radix,T,3
Grammomys_dolichurus,C,2
Grammomys_ibeanus,A,1
Grammomys_macmillani,A,1
Haeromys_minahassae,A,1
Halmaheramys_bokimekot,T,3
Hapalomys_delacouri,A,1
Heimyscus_fumosus,T,3
Hybomys_badius,T,3
Hybomys_lunaris,T,3
Hybomys_planifrons,T,3
Hybomys_trivirgatus,T,3
Hybomys_univittatus,T,3
Hydromys_chrysogaster,SA,4
Hydromys_neobrittanicus,SA,4
Hylomyscus_aeta,A,1
Hylomyscus_alleni,C,2
Hylomyscus_anselli,A,1
Hylomyscus_arcimontensis,A,1
Hylomyscus_baeri,A,1
Hylomyscus_denniae,A,1
Hylomyscus_grandis,C,2
Hylomyscus_parvus,C,2
Hylomyscus_stella,C,2
Hyomys_goliath,C,2
Hyorhinomys_stumpkei,T,3
Kadarsanomys_sodyi,A,1
Komodomys_rintjanus,T,3
Lamottemys_okuensis,T,3
Leggadina_forresti,T,3
Leggadina_lakedownensis,T,3
Lemniscomys_barbarus,T,3
Lemniscomys_bellieri,T,3
Lemniscomys_macculus,T,3
Lemniscomys_rosalia,T,3
Lemniscomys_striatus,T,3
Lemniscomys_zebra,T,3
Lenomys_meyeri,C,2
Lenothrix_canus,A,1
Leopoldamys_edwardsi,C,2
Leopoldamys_milleti,T,3
Leopoldamys_neilli,T,3
Leopoldamys_sabanus,C,2
Leporillus_conditor,C,2
Leptomys_elegans,T,3
Limnomys_bryophilus,T,3
Limnomys_sibuanus,C,2
Lorentzimys_nouhuysi,A,1
Macruromys_major,T,3
Malacomys_cansdalei,SA,4
Malacomys_edwardsi,SA,4
Malacomys_longipes,SA,4
Mallomys_aroensis,C,2
Mallomys_istapantap,C,2
Mallomys_rothschildi,A,1
Mammelomys_lanosus,T,3
Mammelomys_rattoides,T,3
Margaretamys_beccarii,A,1
Margaretamys_christinae,A,1
Margaretamys_elegans,A,1
Margaretamys_parvus,A,1
Mastacomys_fuscus,T,3
Mastomys_awashensis,T,3
Mastomys_coucha,T,3
Mastomys_erythroleucus,T,3
Mastomys_huberti,T,3
Mastomys_kollmannspergeri,T,3
Mastomys_natalensis,T,3
Mastomys_pernanus,T,3
Maxomys_bartelsii,T,3
Maxomys_dollmani,C,2
Maxomys_hellwaldii,T,3
Maxomys_hylomyoides,T,3
Maxomys_moi,T,3
Maxomys_musschenbroekii,T,3
Maxomys_ochraceiventer,T,3
Maxomys_pagensis,T,3
Maxomys_panglima,T,3
Maxomys_rajah,T,3
Maxomys_surifer,T,3
Maxomys_whiteheadi,T,3
Melasmothrix_naso,T,3
Melomys_burtoni,C,2
Melomys_capensis,C,2
Melomys_cervinipes,A,1
Melomys_leucogaster,C,2
Melomys_rufescens,A,1
Mesembriomys_gouldii,A,1
Mesembriomys_macrourus,A,1
Micaelamys_namaquensis,T,3
Microhydromys_richardsonii,T,3
Micromys_minutus,A,1
Millardia_kathleenae,T,3
Millardia_meltada,T,3
Mus_baoulei,T,3
Mus_booduga,T,3
Mus_bufo,T,3
Mus_callewaerti,T,3
Mus_caroli,T,3
Mus_cookii,T,3
Mus_crociduroides,T,3
Mus_haussa,T,3
Mus_indutus,T,3
Mus_mahomet,T,3
Mus_mattheyi,T,3
Mus_minutoides,T,3
Mus_musculoides,T,3
Mus_musculus,C,2
Mus_neavei,T,3
Mus_pahari,T,3
Mus_setulosus,T,3
Mus_sorella,T,3
Mus_spretus,T,3
Mus_tenellus,T,3
Mus_terricolor,T,3
Mus_triton,T,3
Musseromys_anacuao,A,1
Musseromys_beneficus,A,1
Musseromys_gulantang,A,1
Musseromys_inopinatus,A,1
Mylomys_dybowskii,T,3
Myomyscus_brockmani,T,3
Myomyscus_verreauxii,T,3
Nesokia_indica,T,3
Niviventer_andersoni,C,2
Niviventer_brahma,C,2
Niviventer_confucianus,C,2
Niviventer_coninga,C,2
Niviventer_cremoriventer,C,2
Niviventer_culturatus,T,3
Niviventer_eha,T,3
Niviventer_excelsior,C,2
Niviventer_fulvescens,C,2
Niviventer_hinpoon,T,3
Niviventer_rapit,C,2
Niviventer_tenaster,T,3
Notomys_alexis,T,3
Notomys_aquilo,T,3
Notomys_cervinus,T,3
Notomys_fuscus,T,3
Notomys_mitchelli,T,3
Oenomys_hypoxanthus,C,2
Otomys_angoniensis,T,3
Otomys_barbouri,T,3
Otomys_burtoni,T,3
Otomys_denti,C,2
Otomys_irroratus,T,3
Otomys_lacustris,T,3
Otomys_laminatus,T,3
Otomys_occidentalis,T,3
Otomys_orestes,T,3
Otomys_sloggetti,T,3
Otomys_tropicalis,T,3
Otomys_unisulcatus,T,3
Papagomys_armandvillei,T,3
Parahydromys_asper,SA,4
Paramelomys_levipes,T,3
Paramelomys_platyops,T,3
Paramelomys_rubex,T,3
Parotomys_brantsii,C,2
Parotomys_littledalei,T,3
Paruromys_dominator,C,2
Paucidentomys_vermidax,T,3
Pelomys_campanae,T,3
Pelomys_fallax,T,3
Phloeomys_cumingi,A,1
Phloeomys_pallidus,A,1
Pithecheir_melanurus,A,1
Pithecheir_parvus,A,1
Pogonomelomys_mayeri,A,1
Pogonomys_loriae,C,2
Pogonomys_macrourus,C,2
Pogonomys_sylvestris,C,2
Praomys_daltoni,C,2
Praomys_degraaffi,T,3
Praomys_delectorum,C,2
Praomys_derooi,T,3
Praomys_hartwigi,C,2
Praomys_jacksoni,C,2
Praomys_lukolelae,T,3
Praomys_minor,C,2
Praomys_misonnei,C,2
Praomys_morio,C,2
Praomys_mutoni,C,2
Praomys_obscurus,T,3
Praomys_petteri,C,2
Praomys_rostratus,C,2
Praomys_tullbergi,C,2
Praomys_verschureni,C,2
Pseudohydromys_ellermani,T,3
Pseudomys_albocinereus,T,3
Pseudomys_apodemoides,T,3
Pseudomys_australis,T,3
